text_clean,label
polisi berhasil menangkap jaringan pengedar narkoba internasional pelabuhan tanjung priok kasus,valid
bank indonesia mempertahankan suku bunga acuan level sama bulan kasus,valid
kementerian kesehatan melaporkan penurunan kasus dengue provinsi kasus,valid
mahkamah agung mengeluarkan putusan terkait sengketa kepemilikan lahan pertanian kasus,valid
menteri pendidikan meluncurkan program beasiswa bagi pelajar berprestasi keluarga miskin kasus,valid
ilmuwan anonim mengklaim matahari menghilang tiga tahun depan kasus,hoax
ufo mendarat jakarta pemerintah berhasil menangkap alien hidup hidup kasus,hoax
virus mematikan covid menyebar seluruh dunia disembunyikan kasus,hoax
kpu menetapkan jadwal pemilihan kepala daerah serentak tahun mendatang kasus,valid
kpu menetapkan jadwal pemilihan kepala daerah serentak tahun mendatang kasus,valid
bumi ternyata datar pemerintah menyembunyikan fakta selama bertahun tahun kasus,hoax
garam beryodium ternyata menyebabkan penyakit saraf tersembunyi menurut dokter luar negeri kasus,hoax
ilmuwan anonim mengklaim matahari menghilang tiga tahun depan kasus,hoax
teknologi alien ditemukan laut jawa penyelam militer rahasia kasus,hoax
pertamina berhasil meningkatkan produksi minyak nasional kuartal pertama tahun kasus,valid
virus mematikan covid menyebar seluruh dunia disembunyikan kasus,hoax
ufo mendarat jakarta pemerintah berhasil menangkap alien hidup hidup kasus,hoax
mahkamah agung mengeluarkan putusan terkait sengketa kepemilikan lahan pertanian kasus,valid
ufo mendarat jakarta pemerintah berhasil menangkap alien hidup hidup kasus,hoax
menteri pendidikan meluncurkan program beasiswa bagi pelajar berprestasi keluarga miskin kasus,valid
presiden menandatangani dokumen penjualan kedaulatan negara secara rahasia kasus,hoax
polisi berhasil menangkap jaringan pengedar narkoba internasional pelabuhan tanjung priok kasus,valid
pemerintah mengumumkan program bantuan sosial kepada masyarakat terdampak bencana alam kasus,valid
pertamina berhasil meningkatkan produksi minyak nasional kuartal pertama tahun kasus,valid
presiden menandatangani dokumen penjualan kedaulatan negara secara rahasia kasus,hoax
polisi berhasil menangkap jaringan pengedar narkoba internasional pelabuhan tanjung priok kasus,valid
bank indonesia mempertahankan suku bunga acuan level sama bulan kasus,valid
badan pusat statistik merilis data pertumbuhan ekonomi indonesia kuartal ketiga kasus,valid
pertamina berhasil meningkatkan produksi minyak nasional kuartal pertama tahun kasus,valid
bank indonesia mempertahankan suku bunga acuan level sama bulan kasus,valid
penelitian rahasia membuktikan vaksin mengandung chip mengontrol manusia kasus,hoax
mahkamah agung mengeluarkan putusan terkait sengketa kepemilikan lahan pertanian kasus,valid
kementerian kesehatan melaporkan penurunan kasus dengue provinsi kasus,valid
teknologi alien ditemukan laut jawa penyelam militer rahasia kasus,hoax
kpu menetapkan jadwal pemilihan kepala daerah serentak tahun mendatang kasus,valid
polisi berhasil menangkap jaringan pengedar narkoba internasional pelabuhan tanjung priok kasus,valid
pemerintah mengumumkan program bantuan sosial kepada masyarakat terdampak bencana alam kasus,valid
ilmuwan anonim mengklaim matahari menghilang tiga tahun depan kasus,hoax
presiden menandatangani dokumen penjualan kedaulatan negara secara rahasia kasus,hoax
virus mematikan covid menyebar seluruh dunia disembunyikan kasus,hoax
badan pusat statistik merilis data pertumbuhan ekonomi indonesia kuartal ketiga kasus,valid
menteri pendidikan meluncurkan program beasiswa bagi pelajar berprestasi keluarga miskin kasus,valid
